; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #2
; ROI rgb value: {0, 128, 0}
; ROI npts: 1981
;
; File X, File Y, B1
;
 116,  245,   2817
 117,  245,   3073
 118,  245,   3077
 119,  245,   2560
 120,  245,    263
 121,  245,      3
 122,  245,   1031
 123,  245,    520
 124,  245,    520
 125,  245,   1030
 126,  245,   1028
 127,  245,    513
 128,  245,   1792
 129,  245,    259
 130,  245,    515
 131,  245,      5
 132,  245,      0
 133,  245,    515
 134,  245,   1796
 135,  245,   1796
 136,  245,   1026
 137,  245,   1024
 138,  245,    775
  94,  246,   8451
  95,  246,   3075
  96,  246,    519
  97,  246,    514
  98,  246,    774
  99,  246,   1802
 100,  246,   1804
 101,  246,     12
 102,  246,     13
 103,  246,    524
 104,  246,   1034
 105,  246,   1798
 106,  246,    769
 107,  246,   1537
 108,  246,   1793
 109,  246,    770
 110,  246,   1029
 111,  246,    264
 112,  246,    779
 113,  246,    267
 114,  246,     11
 115,  246,    780
 116,  246,    523
 117,  246,   1545
 118,  246,    262
 119,  246,    773
 120,  246,   1291
 121,  246,   1808
 122,  246,    275
 123,  246,    532
 124,  246,     19
 125,  246,    788
 126,  246,    275
 127,  246,    786
 128,  246,    528
 129,  246,   1040
 130,  246,   1295
 131,  246,    784
 132,  246,   1042
 133,  246,     19
 134,  246,   1043
 135,  246,     19
 136,  246,   1811
 137,  246,   1042
 138,  246,    526
  94,  247,   7175
  95,  247,   2051
  96,  247,      1
  97,  247,    772
  98,  247,   1288
  99,  247,   1803
 100,  247,    525
 101,  247,   1294
 102,  247,    782
 103,  247,   1806
 104,  247,    781
 105,  247,      8
 106,  247,    773
 107,  247,    516
 108,  247,   1797
 109,  247,   1797
 110,  247,   1544
 111,  247,   1034
 112,  247,   1293
 113,  247,    525
 114,  247,     14
 115,  247,   1807
 116,  247,   1296
 117,  247,   1039
 118,  247,   1036
 119,  247,     11
 120,  247,    526
 121,  247,    786
 122,  247,    788
 123,  247,   1045
 124,  247,   1302
 125,  247,   1814
 126,  247,   1814
 127,  247,    277
 128,  247,    788
 129,  247,   1556
 130,  247,    275
 131,  247,   1556
 132,  247,   1301
 133,  247,   1302
 134,  247,   1302
 135,  247,   1814
 136,  247,    277
 137,  247,   1300
 138,  247,   1042
  94,  248,   7168
  95,  248,   1538
  96,  248,   1793
  97,  248,    516
  98,  248,   1544
  99,  248,     10
 100,  248,   1804
 101,  248,   1037
 102,  248,   1549
 103,  248,    524
 104,  248,   1291
 105,  248,   1289
 106,  248,   1286
 107,  248,   1286
 108,  248,    261
 109,  248,   1799
 110,  248,    775
 111,  248,    521
 112,  248,    268
 113,  248,   1037
 114,  248,   1806
 115,  248,    526
 116,  248,   1808
 117,  248,    783
 118,  248,   1294
 119,  248,   1038
 120,  248,   1040
 121,  248,   1556
 122,  248,   1045
 123,  248,    789
 124,  248,    790
 125,  248,   1815
 126,  248,     22
 127,  248,   1814
 128,  248,    277
 129,  248,     21
 130,  248,   1813
 131,  248,   1813
 132,  248,    277
 133,  248,    790
 134,  248,    535
 135,  248,    790
 136,  248,    790
 137,  248,    276
 138,  248,    529
  94,  249,   7429
  95,  249,   1540
  96,  249,   1026
  97,  249,    261
  98,  249,    264
  99,  249,     10
 100,  249,    779
 101,  249,    523
 102,  249,   1035
 103,  249,    523
 104,  249,    778
 105,  249,    776
 106,  249,   1542
 107,  249,      6
 108,  249,    518
 109,  249,   1031
 110,  249,    519
 111,  249,   1546
 112,  249,    266
 113,  249,     11
 114,  249,   1293
 115,  249,   1550
 116,  249,    270
 117,  249,   1551
 118,  249,    270
 119,  249,   1296
 120,  249,    786
 121,  249,    276
 122,  249,   1046
 123,  249,    534
 124,  249,   1047
 125,  249,     22
 126,  249,   1559
 127,  249,     22
 128,  249,   1046
 129,  249,   1045
 130,  249,    277
 131,  249,   1558
 132,  249,    535
