File,X,Y,Calibrated_B1
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,127,265,5.477617369800506
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,128,265,5.317032223388933
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,129,265,5.289870153455909
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,130,265,5.239798221623058
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,131,265,5.320516482511172
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,132,265,5.2823902099296225
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,133,265,5.343658906712636
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,134,265,5.320701358068893
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,135,265,5.349684714978485
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,136,265,5.346841702812527
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,137,265,5.240237752379628
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,138,265,5.1862876566060185
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,139,265,5.27370164888558
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,140,265,5.185718502126548
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,141,265,5.344457611673645
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,142,265,5.293921349222365
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,143,265,5.22192503391794
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,127,266,5.396798692268404
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,128,266,5.31571960807081
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,129,266,5.37294296889034
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,130,266,5.375941498039134
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,131,266,5.226914456965978
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,132,266,5.316637958032672
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,133,266,5.313648072447059
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,134,266,5.355987922124951
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,135,266,5.234316536963207
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,136,266,5.274326101705592
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,137,266,5.37507481474128
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,138,266,5.35283039223462
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,139,266,5.267495327288532
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,140,266,5.270279788454252
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,141,266,5.184196160274322
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,142,266,5.187390729660605
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,143,266,5.252921839350479
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,144,266,5.274415724713704
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,145,266,5.1890711777150305
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,146,266,5.380496175254355
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,147,266,5.3197407500605545
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,148,266,5.386092495158259
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,149,266,5.391179908614025
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,150,266,5.241828810058317
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,151,266,5.283680915533852
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,152,266,5.394348775958072
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,153,266,5.385379155067765
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,154,266,5.393795241245312
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,155,266,5.3677989281533165
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,156,266,5.227610542377725
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,157,266,5.314763714414717
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,158,266,5.375646642860739
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,159,266,5.361473777723113
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,160,266,5.225516113887945
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,127,267,5.418308520649026
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,128,267,5.19615207119824
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,129,267,5.160597284063494
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,130,267,5.314896269992959
data/cam_sheets/RIT_rois_2/grass/foil/05.csv,131,267,5.233008241142822
