; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #8
; ROI rgb value: {0, 128, 128}
; ROI npts: 940
;
; File X, File Y, B1
;
 304,  186,  44294
 305,  186,  44295
 306,  186,  44548
 307,  186,  44294
 308,  186,  44038
 309,  186,  43525
 310,  186,  43520
 311,  186,  43015
 312,  186,  43009
 313,  186,  43268
 314,  186,  43015
 315,  186,  43011
 316,  186,  42502
 317,  186,  42498
 318,  186,  42498
 319,  186,  42752
 320,  186,  42754
 321,  186,  42758
 322,  186,  43014
 323,  186,  43264
 324,  186,  43267
 325,  186,  43268
 326,  186,  43012
 327,  186,  43009
 328,  186,  42753
 329,  186,  42758
 330,  186,  43011
 331,  186,  43009
 332,  186,  43013
 299,  187,  44806
 300,  187,  44546
 301,  187,  44288
 302,  187,  44035
 303,  187,  43783
 304,  187,  43779
 305,  187,  44036
 306,  187,  44035
 307,  187,  43783
 308,  187,  43783
 309,  187,  43522
 310,  187,  43267
 311,  187,  43015
 312,  187,  43264
 313,  187,  43012
 314,  187,  43268
 315,  187,  43008
 316,  187,  42500
 317,  187,  42497
 318,  187,  42498
 319,  187,  42752
 320,  187,  42753
 321,  187,  42756
 322,  187,  42759
 323,  187,  43264
 324,  187,  43269
 325,  187,  43526
 326,  187,  43268
 327,  187,  43015
 328,  187,  43011
 329,  187,  43008
 330,  187,  42757
 331,  187,  43008
 332,  187,  43009
 299,  188,  44551
 300,  188,  44295
 301,  188,  44039
 302,  188,  43778
 303,  188,  43522
 304,  188,  43270
 305,  188,  43523
 306,  188,  43524
 307,  188,  43781
 308,  188,  43527
 309,  188,  43271
 310,  188,  43265
 311,  188,  43265
 312,  188,  43264
 313,  188,  43014
 314,  188,  43267
 315,  188,  43014
 316,  188,  42757
 317,  188,  42500
 318,  188,  42499
 319,  188,  42501
 320,  188,  42754
 321,  188,  43008
 322,  188,  42757
 323,  188,  43013
 324,  188,  43268
 325,  188,  43524
 326,  188,  43524
 327,  188,  43265
 328,  188,  43264
 329,  188,  43015
 330,  188,  43015
 331,  188,  43015
 332,  188,  43266
 299,  189,  44545
 300,  189,  44039
 301,  189,  43781
 302,  189,  43525
 303,  189,  43270
 304,  189,  43267
 305,  189,  43522
 306,  189,  43526
 307,  189,  43525
 308,  189,  43522
 309,  189,  43265
 310,  189,  43266
 311,  189,  43265
 312,  189,  43268
 313,  189,  43520
 314,  189,  43524
 315,  189,  43269
 316,  189,  43012
 317,  189,  42757
 318,  189,  42753
 319,  189,  42499
 320,  189,  42501
 321,  189,  42758
 322,  189,  42754
 323,  189,  43015
 324,  189,  43271
 325,  189,  43777
 326,  189,  43782
 327,  189,  43783
 328,  189,  43776
 329,  189,  43521
 330,  189,  43271
 331,  189,  43271
 332,  189,  43522
 299,  190,  44035
 300,  190,  44032
 301,  190,  43777
 302,  190,  43527
 303,  190,  43522
 304,  190,  43523
 305,  190,  43776
 306,  190,  43777
 307,  190,  43527
 308,  190,  43525
 309,  190,  43015
 310,  190,  43266
 311,  190,  43015
 312,  190,  43524
 313,  190,  43778
 314,  190,  44033
 315,  190,  43779
 316,  190,  43522
 317,  190,  43010
 318,  190,  42502
 319,  190,  42756
 320,  190,  42757
 321,  190,  43011
 322,  190,  43010
 323,  190,  43264
 324,  190,  43525
 325,  190,  44288
 326,  190,  44039
 327,  190,  44288
 328,  190,  44289
 329,  190,  44291
 330,  190,  43782
 331,  190,  43526
 332,  190,  43776
 299,  191,  43270
 300,  191,  43009
 301,  191,  43010
 302,  191,  43266
 303,  191,  43524
 304,  191,  43527
 305,  191,  44034
 306,  191,  43527
 307,  191,  43522
 308,  191,  43521
 309,  191,  43264
 310,  191,  43266
 311,  191,  43521
 312,  191,  43777
 313,  191,  44288
 314,  191,  44039
 315,  191,  43781
 316,  191,  43521
 317,  191,  42757
 318,  191,  42758
 319,  191,  42758
 320,  191,  43011
 321,  191,  43014
 322,  191,  43266
 323,  191,  43523
 324,  191,  44034
 325,  191,  44290
 326,  191,  44292
 327,  191,  44292
 328,  191,  44292
 329,  191,  44037
 330,  191,  43783
 331,  191,  43781
 332,  191,  43526
 300,  192,  41734
 301,  192,  42241
 302,  192,  42759
 303,  192,  43270
 304,  192,  43778
 305,  192,  43526
 306,  192,  43524
 307,  192,  43776
 308,  192,  43271
 309,  192,  43271
 310,  192,  43271
 311,  192,  43779
 312,  192,  44036
 313,  192,  44546
 314,  192,  44288
 315,  192,  43783
 316,  192,  43265
 317,  192,  43013
 318,  192,  43012
 319,  192,  43013
 320,  192,  43015
 321,  192,  43520
 322,  192,  43522
 323,  192,  43779
 324,  192,  44035
 325,  192,  44289
 326,  192,  44291
 327,  192,  44035
 328,  192,  44035
 329,  192,  44036
 330,  192,  44032
 331,  192,  43779
 332,  192,  43776
 300,  193,  40451
 301,  193,  41216
 302,  193,  41474
 303,  193,  42245
 304,  193,  43008
 305,  193,  43271
 306,  193,  43526
 307,  193,  43777
 308,  193,  43271
 309,  193,  43269
 310,  193,  43526
 311,  193,  43780
 312,  193,  44034
 313,  193,  44544
 314,  193,  44294
 315,  193,  44288
 316,  193,  43525
 317,  193,  43524
 318,  193,  43266
 319,  193,  43015
 320,  193,  43269
 321,  193,  43270
 322,  193,  43521
 323,  193,  43526
 324,  193,  44032
 325,  193,  43782
 326,  193,  43779
 327,  193,  43780
 328,  193,  43780
 329,  193,  43782
 330,  193,  43777
 331,  193,  43779
 332,  193,  43521
 300,  194,  39682
 301,  194,  39936
 302,  194,  40451
 303,  194,  41216
 304,  194,  41733
 305,  194,  42502
 306,  194,  43012
 307,  194,  43014
 308,  194,  43267
 309,  194,  43523
 310,  194,  43778
 311,  194,  44032
 312,  194,  44293
 313,  194,  44291
 314,  194,  44544
 315,  194,  44546
 316,  194,  44037
 317,  194,  43778
 318,  194,  43522
 319,  194,  43520
 320,  194,  43268
 321,  194,  43526
 322,  194,  43526
 323,  194,  43524
 324,  194,  43522
 325,  194,  43525
 326,  194,  43525
 327,  194,  43777
 328,  194,  43778
 329,  194,  43782
 330,  194,  43524
 331,  194,  43527
 332,  194,  43521
 300,  195,  39684
 301,  195,  39682
 302,  195,  39941
 303,  195,  40452
 304,  195,  40965
 305,  195,  41479
 306,  195,  41985
 307,  195,  42245
 308,  195,  43008
 309,  195,  43521
 310,  195,  43778
 311,  195,  43783
 312,  195,  44291
 313,  195,  44548
 314,  195,  44549
 315,  195,  44546
 316,  195,  44294
 317,  195,  43779
 318,  195,  43526
 319,  195,  43523
 320,  195,  43522
 321,  195,  43520
 322,  195,  43520
 323,  195,  43522
 324,  195,  43524
 325,  195,  43269
 326,  195,  43520
 327,  195,  43777
 328,  195,  43783
 329,  195,  43783
 330,  195,  43778
 331,  195,  43777
 332,  195,  43526
 300,  196,  40963
 301,  196,  40705
 302,  196,  40710
 303,  196,  40453
 304,  196,  40453
 305,  196,  40707
 306,  196,  40963
 307,  196,  41730
 308,  196,  42246
 309,  196,  43015
 310,  196,  43778
 311,  196,  44035
 312,  196,  44544
 313,  196,  44800
 314,  196,  44805
 315,  196,  44548
 316,  196,  44291
 317,  196,  44037
 318,  196,  43778
 319,  196,  43522
 320,  196,  43267
 321,  196,  43265
 322,  196,  43015
 323,  196,  43269
 324,  196,  43268
 325,  196,  43522
 326,  196,  43521
 327,  196,  43779
 328,  196,  44035
 329,  196,  43781
 330,  196,  43777
 331,  196,  43523
 332,  196,  43521
 300,  197,  42757
 301,  197,  42247
 302,  197,  41991
 303,  197,  41220
 304,  197,  40711
 305,  197,  40451
 306,  197,  40961
 307,  197,  41478
 308,  197,  42496
 309,  197,  43264
 310,  197,  43778
 311,  197,  44288
 312,  197,  44805
 313,  197,  44805
 314,  197,  44805
 315,  197,  44802
 316,  197,  44545
 317,  197,  44291
 318,  197,  43783
 319,  197,  43523
 320,  197,  43013
 321,  197,  43268
 322,  197,  43270
 323,  197,  43270
 324,  197,  43525
 325,  197,  43525
 326,  197,  43526
 327,  197,  43783
 328,  197,  43781
 329,  197,  43781
 330,  197,  43526
 331,  197,  43271
 332,  197,  43268
 300,  198,  44037
 301,  198,  43521
 302,  198,  42755
 303,  198,  42497
 304,  198,  41986
 305,  198,  41479
 306,  198,  41989
 307,  198,  42752
 308,  198,  43013
 309,  198,  43525
 310,  198,  44038
 311,  198,  44550
 312,  198,  44807
 313,  198,  45059
 314,  198,  45056
 315,  198,  44801
 316,  198,  44550
 317,  198,  44289
 318,  198,  43779
 319,  198,  43522
 320,  198,  43268
 321,  198,  43521
 322,  198,  43523
 323,  198,  43524
 324,  198,  43523
 325,  198,  43520
 326,  198,  43527
 327,  198,  43520
 328,  198,  43523
 329,  198,  43271
 330,  198,  43266
 331,  198,  43009
 332,  198,  42758
 300,  199,  44545
 301,  199,  44034
 302,  199,  43270
 303,  199,  43268
 304,  199,  43011
 305,  199,  43270
 306,  199,  43781
 307,  199,  44039
 308,  199,  44292
 309,  199,  44038
 310,  199,  44549
 311,  199,  45058
 312,  199,  45318
 313,  199,  45317
 314,  199,  45063
 315,  199,  45056
 316,  199,  44801
 317,  199,  44288
 318,  199,  44037
 319,  199,  43782
 320,  199,  43779
 321,  199,  44034
 322,  199,  43780
 323,  199,  43781
 324,  199,  43782
 325,  199,  43525
 326,  199,  43270
 327,  199,  43264
 328,  199,  43011
 329,  199,  42759
 330,  199,  42752
 331,  199,  42752
 332,  199,  42756
 300,  200,  44546
 301,  200,  43782
 302,  200,  43778
 303,  200,  43780
 304,  200,  43781
 305,  200,  44546
 306,  200,  45061
 307,  200,  45312
 308,  200,  44804
 309,  200,  44544
 310,  200,  44806
 311,  200,  45312
 312,  200,  45313
 313,  200,  45315
 314,  200,  45062
 315,  200,  44805
 316,  200,  44546
 317,  200,  44293
 318,  200,  44037
 319,  200,  44036
 320,  200,  44034
 321,  200,  43783
 322,  200,  44037
 323,  200,  43782
 324,  200,  44035
 325,  200,  43523
 326,  200,  43268
 327,  200,  43008
 328,  200,  42502
 329,  200,  42247
 330,  200,  42244
 331,  200,  42243
 332,  200,  42498
 300,  201,  44800
 301,  201,  44292
 302,  201,  44289
 303,  201,  44038
 304,  201,  44295
 305,  201,  44800
 306,  201,  45057
 307,  201,  45057
 308,  201,  44550
 309,  201,  44800
 310,  201,  45059
 311,  201,  45313
 312,  201,  45316
 313,  201,  45568
 314,  201,  45060
 315,  201,  45061
 316,  201,  44801
 317,  201,  44294
 318,  201,  44290
 319,  201,  44036
 320,  201,  44289
 321,  201,  44288
 322,  201,  44036
 323,  201,  43777
 324,  201,  43777
 325,  201,  43271
 326,  201,  43015
 327,  201,  42498
 328,  201,  42243
 329,  201,  41734
 330,  201,  41988
 331,  201,  41988
 332,  201,  42245
 300,  202,  44805
 301,  202,  44295
 302,  202,  44290
 303,  202,  44038
 304,  202,  44036
 305,  202,  44036
 306,  202,  44290
 307,  202,  44294
 308,  202,  44293
 309,  202,  44550
 310,  202,  44807
 311,  202,  45062
 312,  202,  45061
 313,  202,  45058
 314,  202,  44806
 315,  202,  44800
 316,  202,  44544
 317,  202,  44290
 318,  202,  44035
 319,  202,  44033
 320,  202,  44291
 321,  202,  44032
 322,  202,  44034
 323,  202,  43269
 324,  202,  43008
 325,  202,  42756
 326,  202,  42500
 327,  202,  41985
 328,  202,  41730
 329,  202,  41728
 330,  202,  41478
 331,  202,  41734
 332,  202,  41988
 300,  203,  44807
 301,  203,  44295
 302,  203,  44033
 303,  203,  43524
 304,  203,  43520
 305,  203,  43526
 306,  203,  44033
 307,  203,  44036
 308,  203,  44292
 309,  203,  44551
 310,  203,  44551
 311,  203,  44802
 312,  203,  44806
 313,  203,  44807
 314,  203,  44800
 315,  203,  44295
 316,  203,  44288
 317,  203,  44036
 318,  203,  44036
 319,  203,  44033
 320,  203,  44033
 321,  203,  43527
 322,  203,  43014
 323,  203,  42501
 324,  203,  41991
 325,  203,  41732
 326,  203,  41478
 327,  203,  41223
 328,  203,  41473
 329,  203,  41475
 330,  203,  41730
 331,  203,  41734
 332,  203,  41991
 300,  204,  44804
 301,  204,  44288
 302,  204,  43522
 303,  204,  43268
 304,  204,  43269
 305,  204,  43269
 306,  204,  43776
 307,  204,  44033
 308,  204,  44034
 309,  204,  44035
 310,  204,  44039
 311,  204,  44293
 312,  204,  44293
 313,  204,  44289
 314,  204,  44290
 315,  204,  44288
 316,  204,  44036
 317,  204,  44289
 318,  204,  44038
 319,  204,  44037
 320,  204,  43527
 321,  204,  43522
 322,  204,  42503
 323,  204,  42244
 324,  204,  41479
 300,  205,  44545
 301,  205,  43781
 302,  205,  43268
 303,  205,  43264
 304,  205,  43013
 305,  205,  43266
 306,  205,  43523
 307,  205,  43779
 308,  205,  44039
