; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #4
; ROI rgb value: {255, 255, 0}
; ROI npts: 3412
;
; File X, File Y, B1
;
 231,  170,  43776
 232,  170,  43267
 233,  170,  42759
 234,  170,  43012
 235,  170,  43264
 236,  170,  43527
 237,  170,  43778
 238,  170,  43526
 239,  170,  43011
 240,  170,  42500
 241,  170,  42240
 211,  171,  44291
 212,  171,  44802
 213,  171,  45317
 214,  171,  46337
 215,  171,  46339
 216,  171,  45826
 217,  171,  45062
 218,  171,  44548
 219,  171,  44293
 220,  171,  44289
 221,  171,  43778
 222,  171,  43781
 223,  171,  43776
 224,  171,  43781
 225,  171,  43777
 226,  171,  43526
 227,  171,  43527
 228,  171,  43782
 229,  171,  44036
 230,  171,  44034
 231,  171,  43526
 232,  171,  43520
 233,  171,  43271
 234,  171,  43270
 235,  171,  43522
 236,  171,  43527
 237,  171,  44034
 238,  171,  43777
 239,  171,  43523
 240,  171,  42759
 241,  171,  42246
 191,  172,  46083
 192,  172,  46080
 193,  172,  46340
 194,  172,  46342
 195,  172,  46851
 196,  172,  46848
 197,  172,  46853
 198,  172,  46853
 199,  172,  46851
 200,  172,  46599
 201,  172,  46593
 202,  172,  46084
 203,  172,  46087
 204,  172,  46596
 205,  172,  46851
 206,  172,  47365
 207,  172,  47618
 208,  172,  47104
 209,  172,  46087
 210,  172,  45312
 211,  172,  45060
 212,  172,  45568
 213,  172,  45825
 214,  172,  46343
 215,  172,  46851
 216,  172,  46596
 217,  172,  45826
 218,  172,  44550
 219,  172,  44036
 220,  172,  43521
 221,  172,  43520
 222,  172,  43520
 223,  172,  43524
 224,  172,  43521
 225,  172,  43520
 226,  172,  43523
 227,  172,  43526
 228,  172,  44032
 229,  172,  44034
 230,  172,  43778
 231,  172,  43525
 232,  172,  43525
 233,  172,  43526
 234,  172,  44032
 235,  172,  43783
 236,  172,  43780
 237,  172,  43781
 238,  172,  44036
 239,  172,  43527
 240,  172,  43267
 241,  172,  43012
 181,  173,  44034
 182,  173,  45313
 183,  173,  45828
 184,  173,  46084
 185,  173,  46084
 186,  173,  46336
 187,  173,  46595
 188,  173,  46594
 189,  173,  46341
 190,  173,  46848
 191,  173,  46082
 192,  173,  46086
 193,  173,  46342
 194,  173,  46849
 195,  173,  47108
 196,  173,  47364
 197,  173,  47365
 198,  173,  47621
 199,  173,  47366
 200,  173,  47364
 201,  173,  47105
 202,  173,  46338
 203,  173,  45825
 204,  173,  45572
 205,  173,  46082
 206,  173,  46599
 207,  173,  47104
 208,  173,  46849
 209,  173,  46341
 210,  173,  45826
 211,  173,  45319
 212,  173,  45315
 213,  173,  45572
 214,  173,  46594
 215,  173,  47105
 216,  173,  46849
 217,  173,  45826
 218,  173,  44549
 219,  173,  43777
 220,  173,  43265
 221,  173,  43014
 222,  173,  43013
 223,  173,  43264
 224,  173,  43014
 225,  173,  43014
 226,  173,  43015
 227,  173,  43271
 228,  173,  43527
 229,  173,  43527
 230,  173,  43523
 231,  173,  43527
 232,  173,  43522
 233,  173,  43778
 234,  173,  43780
 235,  173,  43779
 236,  173,  43776
 237,  173,  43776
 238,  173,  43776
 239,  173,  43778
 240,  173,  43271
 241,  173,  43013
 181,  174,  45063
 182,  174,  46080
 183,  174,  46599
 184,  174,  47104
 185,  174,  46339
 186,  174,  46592
 187,  174,  46595
 188,  174,  46853
 189,  174,  46595
 190,  174,  46339
 191,  174,  46083
 192,  174,  46339
 193,  174,  46596
 194,  174,  46851
 195,  174,  47108
 196,  174,  47363
 197,  174,  47872
 198,  174,  48129
 199,  174,  48129
 200,  174,  47623
 201,  174,  47110
 202,  174,  46084
 203,  174,  45568
 204,  174,  45312
 205,  174,  45571
 206,  174,  46082
 207,  174,  46598
 208,  174,  46593
 209,  174,  46083
 210,  174,  45573
 211,  174,  45315
 212,  174,  45056
 213,  174,  45315
 214,  174,  46084
 215,  174,  46855
 216,  174,  46592
 217,  174,  45568
 218,  174,  44544
 219,  174,  43783
 220,  174,  43524
 221,  174,  43522
 222,  174,  43269
 223,  174,  43525
 224,  174,  43264
 225,  174,  43521
 226,  174,  43270
 227,  174,  43265
 228,  174,  43522
 229,  174,  43523
 230,  174,  43524
 231,  174,  43520
 232,  174,  43776
 233,  174,  43782
 234,  174,  44036
 235,  174,  43783
 236,  174,  43780
 237,  174,  43779
 238,  174,  43781
 239,  174,  43527
 240,  174,  43527
 241,  174,  43271
 181,  175,  46341
 182,  175,  46599
 183,  175,  46854
 184,  175,  47107
 185,  175,  46340
 186,  175,  46084
 187,  175,  45830
 188,  175,  46592
 189,  175,  46342
 190,  175,  46085
 191,  175,  46336
 192,  175,  46593
 193,  175,  46851
 194,  175,  46342
 195,  175,  46336
 196,  175,  46848
 197,  175,  47109
 198,  175,  47362
 199,  175,  47365
 200,  175,  47363
 201,  175,  46851
 202,  175,  45573
 203,  175,  45059
 204,  175,  44805
 205,  175,  45314
 206,  175,  45573
 207,  175,  45829
 208,  175,  45830
 209,  175,  45824
 210,  175,  45317
 211,  175,  44802
 212,  175,  44803
 213,  175,  45061
 214,  175,  46086
 215,  175,  46594
 216,  175,  46343
 217,  175,  45319
 218,  175,  44550
 219,  175,  44035
 220,  175,  43524
 221,  175,  43526
 222,  175,  43526
 223,  175,  44032
 224,  175,  43783
 225,  175,  43525
 226,  175,  43267
 227,  175,  43520
 228,  175,  43520
 229,  175,  43526
 230,  175,  43524
 231,  175,  43525
 232,  175,  43782
 233,  175,  43778
 234,  175,  44291
 235,  175,  44290
 236,  175,  44289
 237,  175,  43782
 238,  175,  44032
 239,  175,  44035
 240,  175,  43527
 241,  175,  43526
 181,  176,  46592
 182,  176,  46599
 183,  176,  46848
 184,  176,  46343
 185,  176,  45827
