target	Ls Radiance	Ls Derived Temperature	Lg	Lg Derived Temperature
concrete	9.470861895	302.1	9.708228395	303.7
concrete	9.473721467	302.2	9.711340008	303.8
concrete	9.46245629	302.1	9.699081926	303.7
concrete	9.464655139	302.1	9.70147458	303.7
concrete	9.477176933	302.2	9.715100036	303.8
concrete	9.468329816	302.1	9.70547314	303.7
concrete	9.468624762	302.1	9.705794083	303.7
concrete	9.463180645	302.1	9.699870125	303.7
concrete	9.443963481	302	9.678959174	303.5
concrete	9.471726606	302.1	9.709169321	303.7
concrete	9.494834517	302.3	9.734313947	303.9
concrete	9.464851554	302.1	9.701688307	303.7
concrete	9.471149138	302.1	9.708540955	303.7
concrete	9.465386105	302.1	9.702269973	303.7
concrete	9.469812616	302.1	9.707086633	303.7
concrete	9.468739814	302.1	9.705919275	303.7
concrete	9.482195364	302.2	9.720560788	303.8
concrete	9.511174954	302.4	9.752094618	304
concrete	9.514896724	302.4	9.756144422	304.1
concrete	9.510435701	302.4	9.751290208	304
concrete	9.476203167	302.2	9.714040443	303.8
concrete	9.475938757	302.2	9.713752728	303.8
concrete	9.432708315	301.9	9.666711986	303.5
concrete	9.475938554	302.2	9.713752507	303.8
concrete	9.462364551	302.1	9.698982101	303.7
concrete	9.484637814	302.2	9.723218514	303.8
concrete	9.500137912	302.3	9.740084779	303.9
concrete	9.499847878	302.3	9.739769182	303.9
concrete	9.497390454	302.3	9.737095162	303.9
concrete	9.521712443	302.5	9.763560874	304.1
concrete	9.531326936	302.5	9.774022781	304.2
concrete	9.475593038	302.2	9.713376538	303.8
concrete	9.485062804	302.2	9.723680962	303.8
concrete	9.465869995	302.1	9.702796513	303.7
concrete	9.509299399	302.4	9.750053753	304
concrete	9.486968733	302.2	9.725754878	303.9
concrete	9.477577037	302.2	9.715535405	303.8
concrete	9.472017836	302.1	9.70948622	303.7
concrete	9.497249494	302.3	9.736941778	303.9
concrete	9.49114824	302.3	9.730302764	303.9
concrete	9.499549028	302.3	9.739443991	303.9
concrete	9.518480836	302.5	9.760044435	304.1
concrete	9.518989722	302.5	9.760598174	304.1
concrete	9.500091307	302.3	9.740034066	303.9
concrete	9.50503647	302.4	9.745415092	304
concrete	9.489987291	302.3	9.72903949	303.9
concrete	9.500965783	302.3	9.740985618	304
concrete	9.461223703	302.1	9.6977407	303.7
concrete	9.495720603	302.3	9.735278132	303.9
concrete	9.469936042	302.1	9.707220938	303.7
concrete	9.477916856	302.2	9.715905175	303.8
concrete	9.470140165	302.1	9.707443052	303.7
concrete	9.458919268	302.1	9.695233153	303.7
concrete	9.496601704	302.3	9.736236892	303.9
concrete	9.497044164	302.3	9.73671835	303.9
concrete	9.537189505	302.6	9.780402073	304.2
concrete	9.504231857	302.4	9.744539561	304
concrete	9.518490756	302.5	9.76005523	304.1
concrete	9.557772283	302.7	9.802799002	304.4
concrete	9.464813308	302.1	9.70164669	303.7
concrete	9.499605513	302.3	9.739505455	303.9
concrete	9.498748999	302.3	9.738573448	303.9
concrete	9.496934583	302.3	9.736599111	303.9
concrete	9.494858114	302.3	9.734339624	303.9
concrete	9.521263563	302.5	9.76307243	304.1
concrete	9.497638122	302.3	9.737364659	303.9
concrete	9.467478825	302.1	9.704547144	303.7
concrete	9.463896743	302.1	9.700649339	303.7
concrete	9.476588392	302.2	9.714459621	303.8
concrete	9.467427814	302.1	9.704491637	303.7
concrete	9.46167059	302.1	9.698226975	303.7
concrete	9.495610921	302.3	9.735158782	303.9
concrete	9.463400189	302.1	9.70010902	303.7
concrete	9.494782534	302.3	9.734257382	303.9
concrete	9.468804923	302.1	9.705990123	303.7
