; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #18
; ROI rgb value: {255, 165, 0}
; ROI npts: 221
;
; File X, File Y, B1
;
 411,  184,  43266
 412,  184,  43525
 413,  184,  43267
 414,  184,  43015
 415,  184,  43012
 416,  184,  43264
 417,  184,  43521
 418,  184,  43525
 419,  184,  43015
 420,  184,  42500
 421,  184,  41987
 422,  184,  41728
 423,  184,  41477
 424,  184,  41474
 425,  184,  41221
 426,  184,  41223
 411,  185,  43523
 412,  185,  43776
 413,  185,  43269
 414,  185,  43013
 415,  185,  43015
 416,  185,  43010
 417,  185,  43268
 418,  185,  43521
 419,  185,  43010
 420,  185,  42244
 421,  185,  41986
 422,  185,  41475
 423,  185,  41731
 424,  185,  41728
 425,  185,  41728
 426,  185,  41474
 411,  186,  43527
 412,  186,  43268
 413,  186,  43267
 414,  186,  43014
 415,  186,  43010
 416,  186,  42756
 417,  186,  42755
 418,  186,  42759
 419,  186,  42499
 420,  186,  41990
 421,  186,  41479
 422,  186,  41477
 423,  186,  41479
 424,  186,  41475
 425,  186,  41476
 426,  186,  41730
 411,  187,  43268
 412,  187,  43014
 413,  187,  43015
 414,  187,  42755
 415,  187,  42500
 416,  187,  42242
 417,  187,  42501
 418,  187,  42245
 419,  187,  41990
 420,  187,  41732
 421,  187,  41730
 422,  187,  41728
 423,  187,  41984
 424,  187,  41728
 425,  187,  41728
 426,  187,  41731
 410,  188,  43526
 411,  188,  43012
 412,  188,  42502
 413,  188,  42752
 414,  188,  42499
 415,  188,  42242
 416,  188,  41991
 417,  188,  41987
 418,  188,  41987
 419,  188,  41984
 420,  188,  41728
 421,  188,  41478
 422,  188,  41734
 423,  188,  41988
 424,  188,  41984
 425,  188,  41984
 426,  188,  41733
 410,  189,  43015
 411,  189,  42498
 412,  189,  42245
 413,  189,  42500
 414,  189,  42245
 415,  189,  41990
 416,  189,  41990
 417,  189,  41990
 418,  189,  41987
 419,  189,  41729
 420,  189,  41733
 421,  189,  41732
 422,  189,  41987
 423,  189,  42496
 424,  189,  41991
 425,  189,  41990
 426,  189,  41988
 410,  190,  41989
 411,  190,  41733
 412,  190,  41985
 413,  190,  41987
 414,  190,  41991
 415,  190,  42240
 416,  190,  41989
 417,  190,  42242
 418,  190,  42243
 419,  190,  41987
 420,  190,  41732
 421,  190,  41988
 422,  190,  42240
 423,  190,  42496
 424,  190,  42498
 425,  190,  42245
 426,  190,  42242
 410,  191,  40450
 411,  191,  40452
 412,  191,  40961
 413,  191,  41220
 414,  191,  41731
 415,  191,  41984
 416,  191,  42243
 417,  191,  42500
 418,  191,  42753
 419,  191,  42242
 420,  191,  41988
 421,  191,  41985
 422,  191,  42242
 423,  191,  42497
 424,  191,  42499
 425,  191,  42496
 426,  191,  42247
 410,  192,  39684
 411,  192,  39431
 412,  192,  39939
 413,  192,  40452
 414,  192,  40961
 415,  192,  41479
 416,  192,  42243
 417,  192,  42759
 418,  192,  43009
 419,  192,  42247
 420,  192,  41989
 421,  192,  41989
 422,  192,  42241
 423,  192,  42498
 424,  192,  42242
 425,  192,  42498
 426,  192,  42246
 410,  193,  40448
 411,  193,  39430
 412,  193,  39426
 413,  193,  39682
 414,  193,  40198
 415,  193,  41217
 416,  193,  42242
 417,  193,  43014
 418,  193,  43015
 419,  193,  42754
 420,  193,  42245
 421,  193,  42242
 422,  193,  42241
 423,  193,  42242
 424,  193,  42246
 425,  193,  42241
 426,  193,  41984
 409,  194,  42500
 410,  194,  41734
 411,  194,  40711
 412,  194,  40192
 413,  194,  39685
 414,  194,  39940
 415,  194,  40963
 416,  194,  42241
 417,  194,  43012
 418,  194,  43521
 419,  194,  43009
 420,  194,  42496
 421,  194,  42247
 422,  194,  42245
 423,  194,  42243
 424,  194,  42241
 425,  194,  41732
 426,  194,  41733
 409,  195,  43270
 410,  195,  42499
 411,  195,  41477
 412,  195,  40960
 413,  195,  40454
 414,  195,  40198
 415,  195,  40963
 416,  195,  42241
 417,  195,  43010
 418,  195,  43014
 419,  195,  43012
 420,  195,  42755
 421,  195,  42243
 422,  195,  42240
 423,  195,  41986
 424,  195,  41474
 425,  195,  40966
 426,  195,  40967
 409,  196,  43268
 410,  196,  43008
 411,  196,  41732
 412,  196,  41220
 413,  196,  40960
 414,  196,  40710
 415,  196,  41221
 416,  196,  41988
 417,  196,  42758
 418,  196,  42756
 419,  196,  42755
 420,  196,  42502
 421,  196,  42496
 422,  196,  41732
 423,  196,  41221
 424,  196,  40710
 425,  196,  40451
 426,  196,  40705
 409,  197,  43270
