; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #13
; ROI rgb value: {127, 255, 0}
; ROI npts: 105
;
; File X, File Y, B1
;
 286,  258,   518
 287,  258,     0
 288,  258,   770
 289,  258,  1027
 290,  258,     5
 291,  258,  1801
 292,  258,     9
 293,  258,   266
 294,  258,  1545
 295,  258,  1538
 286,  259,     8
 287,  259,    12
 288,  259,   269
 289,  259,   271
 290,  259,  1041
 291,  259,   531
 292,  259,   532
 293,  259,    20
 294,  259,   275
 295,  259,  1548
 286,  260,   777
 287,  260,  1806
 288,  260,  1039
 289,  260,   785
 290,  260,  1811
 291,  260,   788
 292,  260,  1558
 293,  260,   789
 294,  260,   275
 295,  260,  1547
 286,  261,  1545
 287,  261,   525
 288,  261,   783
 289,  261,  1297
 290,  261,  1299
 291,  261,   789
 292,  261,   277
 293,  261,  1045
 294,  261,  1812
 295,  261,   523
 286,  262,   778
 287,  262,  1293
 288,  262,  1551
 289,  262,  1041
 290,  262,  1043
 291,  262,    20
 292,  262,  1813
 293,  262,   276
 294,  262,  1042
 295,  262,   777
 286,  263,   523
 287,  263,   526
 288,  263,   528
 289,  263,   273
 290,  263,  1811
 291,  263,  1557
 292,  263,  1045
 293,  263,   788
 294,  263,   274
 295,  263,   264
 286,  264,  1037
 287,  264,  1807
 288,  264,  1809
 289,  264,  1811
 290,  264,   532
 291,  264,   276
 292,  264,   789
 293,  264,   531
 294,  264,  1298
 295,  264,  1033
 286,  265,    14
 287,  265,   528
 288,  265,    17
 289,  265,    19
 290,  265,   532
 291,  265,   277
 292,  265,    20
 293,  265,  1043
 294,  265,   786
 295,  265,   522
 286,  266,  1806
 287,  266,  1808
 288,  266,    17
 289,  266,  1042
 290,  266,   787
 291,  266,   788
 292,  266,   275
 293,  266,  1042
 294,  266,   785
 295,  266,  1033
 286,  267,    10
 287,  267,  1292
 288,  267,  1037
 289,  267,   270
 290,  267,   271
 291,  267,   272
 292,  267,  1809
 293,  267,   782
 294,  267,   781
 295,  267,  1285
 286,  268,   512
 287,  268,     2
 288,  268,     1
 289,  268,   259
 290,  268,  1541
