; Number of ROIs: 1
; File Dimension: 640 x 480
;
; ROI name: ROI #7
; ROI rgb value: {128, 128, 0}
; ROI npts: 1102
;
; File X, File Y, B1
;
 384,  222,  40194
 385,  222,  39943
 381,  223,  39938
 382,  223,  40199
 383,  223,  40704
 384,  223,  40195
 385,  223,  39683
 378,  224,  39938
 379,  224,  39684
 380,  224,  39428
 381,  224,  39684
 382,  224,  39940
 383,  224,  40194
 384,  224,  39939
 385,  224,  39937
 375,  225,  39940
 376,  225,  39939
 377,  225,  39938
 378,  225,  39938
 379,  225,  39680
 380,  225,  39681
 381,  225,  39430
 382,  225,  39938
 383,  225,  40196
 384,  225,  40197
 385,  225,  39936
 373,  226,  39680
 374,  226,  39685
 375,  226,  39686
 376,  226,  39938
 377,  226,  39687
 378,  226,  39686
 379,  226,  39682
 380,  226,  39427
 381,  226,  39686
 382,  226,  40196
 383,  226,  40199
 384,  226,  40455
 385,  226,  40453
 370,  227,  39683
 371,  227,  39426
 372,  227,  39172
 373,  227,  39175
 374,  227,  39427
 375,  227,  39428
 376,  227,  39428
 377,  227,  39428
 378,  227,  39427
 379,  227,  39680
 380,  227,  39430
 381,  227,  39936
 382,  227,  39941
 383,  227,  40449
 384,  227,  40450
 385,  227,  40455
 367,  228,  39172
 368,  228,  39428
 369,  228,  39429
 370,  228,  39174
 371,  228,  39172
 372,  228,  39174
 373,  228,  39172
 374,  228,  39175
 375,  228,  39427
 376,  228,  39426
 377,  228,  39431
 378,  228,  39431
 379,  228,  39684
 380,  228,  39684
 381,  228,  39938
 382,  228,  39940
 383,  228,  40196
 384,  228,  40199
 385,  228,  40448
 364,  229,  39939
 365,  229,  39682
 366,  229,  39170
 367,  229,  38661
 368,  229,  38917
 369,  229,  38918
 370,  229,  39174
 371,  229,  38918
 372,  229,  38917
 373,  229,  39172
 374,  229,  38919
 375,  229,  39173
 376,  229,  39425
 377,  229,  39430
 378,  229,  39683
 379,  229,  39685
 380,  229,  39939
 381,  229,  40193
 382,  229,  40450
 383,  229,  40195
 384,  229,  40449
 385,  229,  40449
 362,  230,  38912
 363,  230,  39425
 364,  230,  39430
 365,  230,  39173
 366,  230,  38661
 367,  230,  38660
 368,  230,  38661
 369,  230,  38917
 370,  230,  39168
 371,  230,  38917
 372,  230,  38916
 373,  230,  39170
 374,  230,  39171
 375,  230,  39427
 376,  230,  39687
 377,  230,  39938
 378,  230,  40192
 379,  230,  40192
 380,  230,  40199
 381,  230,  40705
 382,  230,  40960
 383,  230,  40710
 384,  230,  40455
 385,  230,  40452
 361,  231,  38404
 362,  231,  38406
 363,  231,  38659
 364,  231,  38656
 365,  231,  38406
 366,  231,  38149
 367,  231,  37894
 368,  231,  37893
 369,  231,  38150
 370,  231,  38656
 371,  231,  38913
 372,  231,  39172
 373,  231,  39169
 374,  231,  39426
 375,  231,  39686
 376,  231,  39939
 377,  231,  39938
 378,  231,  40197
 379,  231,  40452
 380,  231,  40708
 381,  231,  40961
 382,  231,  40967
 383,  231,  40961
 384,  231,  40449
 385,  231,  40452
 361,  232,  38660
 362,  232,  38403
 363,  232,  38149
 364,  232,  38402
 365,  232,  38146
 366,  232,  37889
 367,  232,  37383
 368,  232,  37636
 369,  232,  38146
 370,  232,  38658
 371,  232,  38915
 372,  232,  38919
 373,  232,  39172
 374,  232,  39428
 375,  232,  39686
 376,  232,  39943
 377,  232,  40449
 378,  232,  40454
 379,  232,  40707
 380,  232,  40710
 381,  232,  40966
 382,  232,  40452
 383,  232,  40454
 384,  232,  40195
 385,  232,  40196
 360,  233,  39686
 361,  233,  38914
 362,  233,  38151
 363,  233,  38400
 364,  233,  38149
 365,  233,  38149
 366,  233,  37383
 367,  233,  37376
 368,  233,  37127
 369,  233,  37893
 370,  233,  38660
 371,  233,  39172
 372,  233,  38916
 373,  233,  39424
 374,  233,  39424
 375,  233,  39937
 376,  233,  39943
 377,  233,  40453
 378,  233,  40707
 379,  233,  40711
 380,  233,  40962
 381,  233,  40709
 382,  233,  40199
 383,  233,  40194
 384,  233,  39687
 385,  233,  40198
 360,  234,  39937
 361,  234,  38916
 362,  234,  38404
 363,  234,  38147
 364,  234,  38146
 365,  234,  38147
 366,  234,  37892
 367,  234,  37122
 368,  234,  37383
 369,  234,  38148
 370,  234,  38919
 371,  234,  39425
 372,  234,  39425
 373,  234,  39424
 374,  234,  39174
 375,  234,  39681
 376,  234,  39942
 377,  234,  40448
 378,  234,  40705
 379,  234,  40960
 380,  234,  40961
 381,  234,  40711
 382,  234,  40451
 383,  234,  40193
 384,  234,  40194
 385,  234,  40450
 359,  235,  40197
 360,  235,  39427
 361,  235,  38917
 362,  235,  38403
 363,  235,  38146
 364,  235,  38150
 365,  235,  38402
 366,  235,  38145
 367,  235,  38144
 368,  235,  38400
 369,  235,  38661
 370,  235,  39425
 371,  235,  39425
 372,  235,  39427
 373,  235,  39428
 374,  235,  39169
 375,  235,  39175
 376,  235,  39940
 377,  235,  40452
 378,  235,  40710
 379,  235,  40710
 380,  235,  40709
 381,  235,  40711
 382,  235,  40451
 383,  235,  40451
 384,  235,  40451
 385,  235,  40455
 359,  236,  39941
 360,  236,  39430
 361,  236,  38916
 362,  236,  38400
 363,  236,  38147
 364,  236,  37894
 365,  236,  38656
 366,  236,  38661
 367,  236,  38918
 368,  236,  39430
 369,  236,  39681
 370,  236,  39681
 371,  236,  39940
 372,  236,  39938
 373,  236,  39684
 374,  236,  39175
 375,  236,  39686
 376,  236,  39942
 377,  236,  40451
 378,  236,  40453
 379,  236,  40707
 380,  236,  40709
 381,  236,  40960
 382,  236,  40711
 383,  236,  40451
 384,  236,  40454
 385,  236,  40711
 358,  237,  40452
 359,  237,  39937
 360,  237,  39430
 361,  237,  38917
 362,  237,  38400
 363,  237,  38145
 364,  237,  38657
 365,  237,  38919
 366,  237,  39937
 367,  237,  40193
 368,  237,  40705
 369,  237,  40706
 370,  237,  40448
 371,  237,  40194
 372,  237,  39942
 373,  237,  39939
 374,  237,  39683
 375,  237,  39940
 376,  237,  40196
 377,  237,  40706
 378,  237,  40706
 379,  237,  40455
 380,  237,  40707
 381,  237,  40962
 382,  237,  40705
 383,  237,  40455
 384,  237,  40704
 385,  237,  40707
 357,  238,  41220
 358,  238,  40196
 359,  238,  39936
 360,  238,  39429
 361,  238,  39424
 362,  238,  38914
 363,  238,  38658
 364,  238,  38916
 365,  238,  39683
 366,  238,  40452
 367,  238,  41216
 368,  238,  41474
 369,  238,  41218
 370,  238,  40706
 371,  238,  39941
 372,  238,  39683
 373,  238,  39682
 374,  238,  39684
 375,  238,  40195
 376,  238,  40452
 377,  238,  40706
 378,  238,  40454
 379,  238,  40455
 380,  238,  40707
 381,  238,  40708
 382,  238,  40454
 383,  238,  40704
 384,  238,  40199
 385,  238,  40451
 357,  239,  40965
 358,  239,  40451
 359,  239,  39937
 360,  239,  39684
 361,  239,  39431
 362,  239,  39430
 363,  239,  39680
 364,  239,  39939
 365,  239,  40198
